source_id,title,time_layer,case_id,doc_type
case_a_korea1997_SRC000,[더미] 한국 외환위기 1997 case_a_korea1997_SRC000,t5,case_a_korea1997,report
case_a_korea1997_SRC001,[더미] 한국 외환위기 1997 case_a_korea1997_SRC001,t2,case_a_korea1997,news
case_a_korea1997_SRC002,[더미] 한국 외환위기 1997 case_a_korea1997_SRC002,t0,case_a_korea1997,news
case_a_korea1997_SRC003,[더미] 한국 외환위기 1997 case_a_korea1997_SRC003,t5,case_a_korea1997,report
case_a_korea1997_SRC004,[더미] 한국 외환위기 1997 case_a_korea1997_SRC004,t0,case_a_korea1997,report
case_a_korea1997_SRC005,[더미] 한국 외환위기 1997 case_a_korea1997_SRC005,t1,case_a_korea1997,report
case_a_korea1997_SRC006,[더미] 한국 외환위기 1997 case_a_korea1997_SRC006,t3,case_a_korea1997,speech
case_a_korea1997_SRC007,[더미] 한국 외환위기 1997 case_a_korea1997_SRC007,t0,case_a_korea1997,news
case_a_korea1997_SRC008,[더미] 한국 외환위기 1997 case_a_korea1997_SRC008,t2,case_a_korea1997,speech
case_a_korea1997_SRC_FORCED00,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED00,t1,case_a_korea1997,speech
case_a_korea1997_SRC_FORCED01,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED01,t0,case_a_korea1997,report
case_a_korea1997_SRC_FORCED02,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED02,t2,case_a_korea1997,news
case_a_korea1997_SRC_FORCED03,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED03,t5,case_a_korea1997,speech
case_a_korea1997_SRC_FORCED04,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED04,t3,case_a_korea1997,news
case_a_korea1997_SRC_FORCED05,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED05,t4,case_a_korea1997,news
case_a_korea1997_SRC_FORCED06,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED06,t0,case_a_korea1997,news
case_a_korea1997_SRC_FORCED07,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED07,t0,case_a_korea1997,news
case_a_korea1997_SRC_FORCED08,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED08,t5,case_a_korea1997,speech
case_a_korea1997_SRC_FORCED09,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_FORCED09,t5,case_a_korea1997,speech
case_a_korea1997_SRC_CHAIN,[더미] 한국 외환위기 1997 case_a_korea1997_SRC_CHAIN,t0,case_a_korea1997,speech
