src,dst,edge_type,case_id,attrs_json
case_a_korea1997_W_t0,case_a_korea1997_N009_t1,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N009_t1,case_a_korea1997_N018_t2,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N018_t2,case_a_korea1997_N027_t3,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N027_t3,case_a_korea1997_N036_t4,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N036_t4,case_a_korea1997_Y_t5,PRECEDES,case_a_korea1997,{}
case_a_korea1997_W_t0,case_a_korea1997_N018_t2,CAUSE,case_a_korea1997,"{""chain_type"": ""backbone""}"
case_a_korea1997_N018_t2,case_a_korea1997_N036_t4,CAUSE,case_a_korea1997,"{""chain_type"": ""backbone""}"
case_a_korea1997_N036_t4,case_a_korea1997_Y_t5,CAUSE,case_a_korea1997,"{""chain_type"": ""backbone""}"
case_a_korea1997_A0000,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0001,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0002,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0003,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0004,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0005,case_a_korea1997_N027_t3,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0006,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0007,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0008,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0009,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0010,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0011,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0012,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0013,case_a_korea1997_N009_t1,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0014,case_a_korea1997_N009_t1,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0015,case_a_korea1997_N009_t1,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0016,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0017,case_a_korea1997_N027_t3,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0018,case_a_korea1997_N027_t3,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0019,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0020,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0021,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0022,case_a_korea1997_N009_t1,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0023,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0024,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0025,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0026,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED000,case_a_korea1997_N009_t1,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED001,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED002,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED003,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED004,case_a_korea1997_N027_t3,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED005,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED006,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED007,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED008,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_FORCED009,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_CHAIN00,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_CHAIN01,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_CHAIN02,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
