assertion_id,cause_concept,effect_concept,speaker,confidence,polarity,source_id,source_span,time_layer,case_id
case_b_dotcom_A0000,외부충격,붕괴,media,0.593,negative,case_b_dotcom_SRC000,문서_case_b_dotcom_t2_p1,t2,case_b_dotcom
case_b_dotcom_A0001,유동성급증,레버리지확대,academic,0.608,positive,case_b_dotcom_SRC000,문서_case_b_dotcom_t5_p2,t5,case_b_dotcom
case_b_dotcom_A0002,엘리트과잉생산,제도마비,academic,0.8,negative,case_b_dotcom_SRC000,문서_case_b_dotcom_t3_p3,t3,case_b_dotcom
case_b_dotcom_A0003,외부충격,붕괴,academic,0.867,negative,case_b_dotcom_SRC001,문서_case_b_dotcom_t5_p4,t5,case_b_dotcom
case_b_dotcom_A0004,구조적엔트로피,붕괴,media,0.628,negative,case_b_dotcom_SRC001,문서_case_b_dotcom_t4_p5,t4,case_b_dotcom
case_b_dotcom_A0005,외부충격,붕괴,analyst,0.769,negative,case_b_dotcom_SRC001,문서_case_b_dotcom_t5_p6,t5,case_b_dotcom
case_b_dotcom_A0006,엘리트과잉생산,제도마비,analyst,0.794,negative,case_b_dotcom_SRC002,문서_case_b_dotcom_t4_p7,t4,case_b_dotcom
case_b_dotcom_A0007,풍요유입,구조적엔트로피,academic,0.72,positive,case_b_dotcom_SRC002,문서_case_b_dotcom_t4_p8,t4,case_b_dotcom
case_b_dotcom_A0008,풍요유입,구조적엔트로피,analyst,0.7,positive,case_b_dotcom_SRC002,문서_case_b_dotcom_t2_p9,t2,case_b_dotcom
case_b_dotcom_A0009,구조적엔트로피,붕괴,academic,0.712,negative,case_b_dotcom_SRC003,문서_case_b_dotcom_t4_p10,t4,case_b_dotcom
case_b_dotcom_A0010,풍요유입,구조적엔트로피,media,0.813,positive,case_b_dotcom_SRC003,문서_case_b_dotcom_t5_p11,t5,case_b_dotcom
case_b_dotcom_A0011,구조적엔트로피,붕괴,academic,0.997,negative,case_b_dotcom_SRC003,문서_case_b_dotcom_t4_p12,t4,case_b_dotcom
case_b_dotcom_A0012,외부충격,붕괴,media,0.516,negative,case_b_dotcom_SRC004,문서_case_b_dotcom_t4_p13,t4,case_b_dotcom
case_b_dotcom_A0013,담론사일로화,취약성증가,analyst,0.844,positive,case_b_dotcom_SRC004,문서_case_b_dotcom_t2_p14,t2,case_b_dotcom
case_b_dotcom_A0014,구조적엔트로피,붕괴,official,0.862,negative,case_b_dotcom_SRC004,문서_case_b_dotcom_t0_p15,t0,case_b_dotcom
case_b_dotcom_A0015,담론사일로화,취약성증가,official,0.589,positive,case_b_dotcom_SRC005,문서_case_b_dotcom_t5_p16,t5,case_b_dotcom
case_b_dotcom_A0016,풍요유입,구조적엔트로피,analyst,0.893,positive,case_b_dotcom_SRC005,문서_case_b_dotcom_t0_p17,t0,case_b_dotcom
case_b_dotcom_A0017,구조적엔트로피,붕괴,official,0.855,negative,case_b_dotcom_SRC005,문서_case_b_dotcom_t0_p18,t0,case_b_dotcom
case_b_dotcom_A0018,구조적엔트로피,붕괴,official,0.686,negative,case_b_dotcom_SRC006,문서_case_b_dotcom_t0_p19,t0,case_b_dotcom
case_b_dotcom_A0019,외부충격,붕괴,analyst,0.553,negative,case_b_dotcom_SRC006,문서_case_b_dotcom_t0_p20,t0,case_b_dotcom
case_b_dotcom_A0020,유동성급증,레버리지확대,official,0.589,positive,case_b_dotcom_SRC006,문서_case_b_dotcom_t4_p21,t4,case_b_dotcom
case_b_dotcom_A0021,유동성급증,레버리지확대,analyst,0.818,positive,case_b_dotcom_SRC007,문서_case_b_dotcom_t0_p22,t0,case_b_dotcom
case_b_dotcom_A0022,외부충격,붕괴,analyst,0.949,negative,case_b_dotcom_SRC007,문서_case_b_dotcom_t2_p23,t2,case_b_dotcom
case_b_dotcom_A0023,외부충격,붕괴,analyst,0.977,negative,case_b_dotcom_SRC007,문서_case_b_dotcom_t1_p24,t1,case_b_dotcom
case_b_dotcom_FORCED000,외부충격,붕괴,academic,0.881,negative,case_b_dotcom_SRC_FORCED00,문서_case_b_dotcom_t4_forced0,t4,case_b_dotcom
case_b_dotcom_FORCED001,외부충격,붕괴,media,0.837,negative,case_b_dotcom_SRC_FORCED01,문서_case_b_dotcom_t1_forced1,t1,case_b_dotcom
case_b_dotcom_FORCED002,외부충격,붕괴,official,0.797,negative,case_b_dotcom_SRC_FORCED02,문서_case_b_dotcom_t5_forced2,t5,case_b_dotcom
case_b_dotcom_FORCED003,외부충격,붕괴,analyst,0.713,negative,case_b_dotcom_SRC_FORCED03,문서_case_b_dotcom_t4_forced3,t4,case_b_dotcom
case_b_dotcom_FORCED004,외부충격,붕괴,official,0.905,negative,case_b_dotcom_SRC_FORCED04,문서_case_b_dotcom_t2_forced4,t2,case_b_dotcom
case_b_dotcom_FORCED005,외부충격,붕괴,analyst,0.91,negative,case_b_dotcom_SRC_FORCED05,문서_case_b_dotcom_t1_forced5,t1,case_b_dotcom
case_b_dotcom_FORCED006,외부충격,붕괴,academic,0.721,negative,case_b_dotcom_SRC_FORCED06,문서_case_b_dotcom_t0_forced6,t0,case_b_dotcom
case_b_dotcom_FORCED007,외부충격,붕괴,academic,0.962,negative,case_b_dotcom_SRC_FORCED07,문서_case_b_dotcom_t5_forced7,t5,case_b_dotcom
case_b_dotcom_FORCED008,외부충격,붕괴,media,0.859,negative,case_b_dotcom_SRC_FORCED08,문서_case_b_dotcom_t3_forced8,t3,case_b_dotcom
case_b_dotcom_CHAIN00,풍요유입,구조적엔트로피,analyst,0.95,negative,case_b_dotcom_SRC_CHAIN,문서_case_b_dotcom_t0_chain0,t0,case_b_dotcom
case_b_dotcom_CHAIN01,구조적엔트로피,취약성증가,analyst,0.95,negative,case_b_dotcom_SRC_CHAIN,문서_case_b_dotcom_t2_chain1,t2,case_b_dotcom
case_b_dotcom_CHAIN02,취약성증가,붕괴,analyst,0.95,negative,case_b_dotcom_SRC_CHAIN,문서_case_b_dotcom_t4_chain2,t4,case_b_dotcom
