node_id,node_type,label,time_layer,case_id,attrs_json
case_b_dotcom_W_t0,Event,VC/IPO 자금 폭증,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N001_t0,Event,담론분열심화,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N002_t0,Organization,감독기관약화,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N003_t0,Event,레버리지확대,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N004_t0,Concept,엘리트파벌형성,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N005_t0,Concept,정보비대칭증가,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N006_t0,Event,정책대응지연,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N007_t0,Concept,외부압력,t0,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N008_t1,Organization,신호무시,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N009_t1,Concept,제도이완,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N010_t1,Organization,과잉투자,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N011_t1,Organization,거버넌스공백,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N012_t1,Event,엔트로피지표상승,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N013_t1,Organization,담론분열심화,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N014_t1,Event,감독기관약화,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N015_t1,Event,레버리지확대,t1,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N016_t2,Event,엘리트파벌형성,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N017_t2,Organization,정보비대칭증가,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N018_t2,Organization,정책대응지연,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N019_t2,Event,외부압력,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N020_t2,Event,신호무시,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N021_t2,Event,제도이완,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N022_t2,Organization,과잉투자,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N023_t2,Event,거버넌스공백,t2,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N024_t3,Concept,엔트로피지표상승,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N025_t3,Event,담론분열심화,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N026_t3,Event,감독기관약화,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N027_t3,Event,레버리지확대,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N028_t3,Organization,엘리트파벌형성,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N029_t3,Organization,정보비대칭증가,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N030_t3,Concept,정책대응지연,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N031_t3,Event,외부압력,t3,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N032_t4,Event,신호무시,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N033_t4,Concept,제도이완,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N034_t4,Concept,과잉투자,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N035_t4,Organization,거버넌스공백,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N036_t4,Concept,엔트로피지표상승,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N037_t4,Organization,담론분열심화,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N038_t4,Concept,감독기관약화,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N039_t4,Concept,레버리지확대,t4,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_Y_t5,Event,NASDAQ 80% 하락 및 기업 파산,t5,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N041_t5,Organization,정보비대칭증가,t5,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N042_t5,Event,정책대응지연,t5,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N043_t5,Event,외부압력,t5,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N044_t5,Concept,신호무시,t5,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N045_t5,Event,제도이완,t5,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N046_t5,Event,과잉투자,t5,case_b_dotcom,"{""y_value"": 1}"
case_b_dotcom_N047_t5,Organization,거버넌스공백,t5,case_b_dotcom,"{""y_value"": 1}"
