source_id,title,time_layer,case_id,doc_type
case_c_sparta_SRC000,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC000,t4,case_c_sparta,news
case_c_sparta_SRC001,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC001,t4,case_c_sparta,report
case_c_sparta_SRC002,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC002,t3,case_c_sparta,speech
case_c_sparta_SRC003,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC003,t0,case_c_sparta,report
case_c_sparta_SRC004,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC004,t0,case_c_sparta,news
case_c_sparta_SRC_FORCED00,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC_FORCED00,t2,case_c_sparta,news
case_c_sparta_SRC_FORCED01,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC_FORCED01,t3,case_c_sparta,speech
case_c_sparta_SRC_FORCED02,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC_FORCED02,t4,case_c_sparta,speech
case_c_sparta_SRC_FORCED03,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC_FORCED03,t2,case_c_sparta,report
case_c_sparta_SRC_FORCED04,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC_FORCED04,t0,case_c_sparta,news
case_c_sparta_SRC_FORCED05,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC_FORCED05,t5,case_c_sparta,speech
case_c_sparta_SRC_CHAIN,[더미] 스파르타 쇠퇴 BC371 case_c_sparta_SRC_CHAIN,t0,case_c_sparta,news
