assertion_id,cause_concept,effect_concept,speaker,confidence,polarity,source_id,source_span,time_layer,case_id
controls_A0000,엘리트과잉생산,제도마비,analyst,0.846,negative,controls_SRC000,문서_controls_t3_p1,t3,controls
controls_A0001,외부충격,붕괴,analyst,0.992,negative,controls_SRC000,문서_controls_t3_p2,t3,controls
controls_A0002,엘리트과잉생산,제도마비,media,0.756,negative,controls_SRC000,문서_controls_t1_p3,t1,controls
controls_A0003,구조적엔트로피,붕괴,media,0.756,negative,controls_SRC001,문서_controls_t0_p4,t0,controls
controls_A0004,유동성급증,레버리지확대,media,0.55,positive,controls_SRC001,문서_controls_t4_p5,t4,controls
controls_A0005,담론사일로화,취약성증가,academic,0.829,positive,controls_SRC001,문서_controls_t5_p6,t5,controls
controls_A0006,외부충격,붕괴,academic,0.559,negative,controls_SRC002,문서_controls_t0_p7,t0,controls
controls_A0007,구조적엔트로피,붕괴,official,0.571,negative,controls_SRC002,문서_controls_t0_p8,t0,controls
controls_A0008,유동성급증,레버리지확대,analyst,0.687,positive,controls_SRC002,문서_controls_t1_p9,t1,controls
controls_A0009,유동성급증,레버리지확대,analyst,0.984,positive,controls_SRC003,문서_controls_t1_p10,t1,controls
controls_A0010,풍요유입,구조적엔트로피,media,0.64,positive,controls_SRC003,문서_controls_t5_p11,t5,controls
controls_A0011,유동성급증,레버리지확대,media,0.768,positive,controls_SRC003,문서_controls_t1_p12,t1,controls
controls_A0012,엘리트과잉생산,제도마비,media,0.905,negative,controls_SRC004,문서_controls_t2_p13,t2,controls
controls_A0013,외부충격,붕괴,academic,0.696,negative,controls_SRC004,문서_controls_t4_p14,t4,controls
controls_A0014,외부충격,붕괴,media,0.832,negative,controls_SRC004,문서_controls_t4_p15,t4,controls
controls_A0015,구조적엔트로피,붕괴,media,0.832,negative,controls_SRC005,문서_controls_t2_p16,t2,controls
controls_A0016,외부충격,붕괴,media,0.831,negative,controls_SRC005,문서_controls_t3_p17,t3,controls
controls_A0017,구조적엔트로피,붕괴,media,0.846,negative,controls_SRC005,문서_controls_t5_p18,t5,controls
controls_FORCED000,외부충격,붕괴,media,0.84,negative,controls_SRC_FORCED00,문서_controls_t2_forced0,t2,controls
controls_FORCED001,외부충격,붕괴,academic,0.995,negative,controls_SRC_FORCED01,문서_controls_t2_forced1,t2,controls
controls_FORCED002,외부충격,붕괴,official,0.932,negative,controls_SRC_FORCED02,문서_controls_t2_forced2,t2,controls
controls_FORCED003,외부충격,붕괴,analyst,0.874,negative,controls_SRC_FORCED03,문서_controls_t1_forced3,t1,controls
controls_FORCED004,외부충격,붕괴,official,0.85,negative,controls_SRC_FORCED04,문서_controls_t1_forced4,t1,controls
controls_FORCED005,외부충격,붕괴,official,0.969,negative,controls_SRC_FORCED05,문서_controls_t0_forced5,t0,controls
controls_FORCED006,외부충격,붕괴,official,0.786,negative,controls_SRC_FORCED06,문서_controls_t0_forced6,t0,controls
controls_CHAIN00,풍요유입,구조적엔트로피,analyst,0.95,negative,controls_SRC_CHAIN,문서_controls_t0_chain0,t0,controls
controls_CHAIN01,구조적엔트로피,취약성증가,analyst,0.95,negative,controls_SRC_CHAIN,문서_controls_t2_chain1,t2,controls
controls_CHAIN02,취약성증가,붕괴,analyst,0.95,negative,controls_SRC_CHAIN,문서_controls_t4_chain2,t4,controls
