node_id,node_type,label,time_layer,case_id,attrs_json
controls_W_t0,Event,외자 유입(대만 1997),t0,controls,"{""y_value"": 0}"
controls_N001_t0,Event,담론분열심화,t0,controls,"{""y_value"": 0}"
controls_N002_t0,Concept,감독기관약화,t0,controls,"{""y_value"": 0}"
controls_N003_t0,Event,레버리지확대,t0,controls,"{""y_value"": 0}"
controls_N004_t0,Event,엘리트파벌형성,t0,controls,"{""y_value"": 0}"
controls_N005_t0,Organization,정보비대칭증가,t0,controls,"{""y_value"": 0}"
controls_N006_t1,Event,정책대응지연,t1,controls,"{""y_value"": 0}"
controls_N007_t1,Concept,외부압력,t1,controls,"{""y_value"": 0}"
controls_N008_t1,Concept,신호무시,t1,controls,"{""y_value"": 0}"
controls_N009_t1,Organization,제도이완,t1,controls,"{""y_value"": 0}"
controls_N010_t1,Organization,과잉투자,t1,controls,"{""y_value"": 0}"
controls_N011_t1,Event,거버넌스공백,t1,controls,"{""y_value"": 0}"
controls_N012_t2,Organization,엔트로피지표상승,t2,controls,"{""y_value"": 0}"
controls_N013_t2,Concept,담론분열심화,t2,controls,"{""y_value"": 0}"
controls_N014_t2,Concept,감독기관약화,t2,controls,"{""y_value"": 0}"
controls_N015_t2,Event,레버리지확대,t2,controls,"{""y_value"": 0}"
controls_N016_t2,Organization,엘리트파벌형성,t2,controls,"{""y_value"": 0}"
controls_N017_t2,Event,정보비대칭증가,t2,controls,"{""y_value"": 0}"
controls_N018_t3,Concept,정책대응지연,t3,controls,"{""y_value"": 0}"
controls_N019_t3,Concept,외부압력,t3,controls,"{""y_value"": 0}"
controls_N020_t3,Event,신호무시,t3,controls,"{""y_value"": 0}"
controls_N021_t3,Concept,제도이완,t3,controls,"{""y_value"": 0}"
controls_N022_t3,Organization,과잉투자,t3,controls,"{""y_value"": 0}"
controls_N023_t3,Concept,거버넌스공백,t3,controls,"{""y_value"": 0}"
controls_N024_t4,Event,엔트로피지표상승,t4,controls,"{""y_value"": 0}"
controls_N025_t4,Event,담론분열심화,t4,controls,"{""y_value"": 0}"
controls_N026_t4,Event,감독기관약화,t4,controls,"{""y_value"": 0}"
controls_N027_t4,Concept,레버리지확대,t4,controls,"{""y_value"": 0}"
controls_N028_t4,Organization,엘리트파벌형성,t4,controls,"{""y_value"": 0}"
controls_N029_t4,Organization,정보비대칭증가,t4,controls,"{""y_value"": 0}"
controls_Y_t5,Event,안정유지,t5,controls,"{""y_value"": 0}"
controls_N031_t5,Organization,외부압력,t5,controls,"{""y_value"": 0}"
controls_N032_t5,Organization,신호무시,t5,controls,"{""y_value"": 0}"
controls_N033_t5,Event,제도이완,t5,controls,"{""y_value"": 0}"
controls_N034_t5,Organization,과잉투자,t5,controls,"{""y_value"": 0}"
controls_N035_t5,Organization,거버넌스공백,t5,controls,"{""y_value"": 0}"
