src,dst,edge_type,case_id,attrs_json
case_a_korea1997_W_t0,case_a_korea1997_N009_t1,PRECEDES,case_a_korea1997,{}
case_a_korea1997_W_t0,case_a_korea1997_N009_t1,PRECEDES,case_a_korea1997,{}
case_a_korea1997_W_t0,case_a_korea1997_N018_t2,CAUSE,case_a_korea1997,"{""chain_type"": ""backbone""}"
case_a_korea1997_N009_t1,case_a_korea1997_N018_t2,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N009_t1,case_a_korea1997_N019_t2,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N018_t2,case_a_korea1997_N027_t3,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N018_t2,case_a_korea1997_N036_t4,CAUSE,case_a_korea1997,"{""chain_type"": ""backbone""}"
case_a_korea1997_N019_t2,case_a_korea1997_N029_t3,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N027_t3,case_a_korea1997_N036_t4,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N029_t3,case_a_korea1997_N036_t4,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N036_t4,case_a_korea1997_Y_t5,PRECEDES,case_a_korea1997,{}
case_a_korea1997_N036_t4,case_a_korea1997_Y_t5,CAUSE,case_a_korea1997,"{""chain_type"": ""backbone""}"
case_a_korea1997_N036_t4,case_a_korea1997_Y_t5,PRECEDES,case_a_korea1997,{}
case_a_korea1997_A0000,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0001,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0002,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0003,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0004,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0005,case_a_korea1997_N027_t3,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0006,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0007,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0008,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0009,case_a_korea1997_Y_t5,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0010,case_a_korea1997_N018_t2,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0011,case_a_korea1997_N036_t4,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0012,case_a_korea1997_W_t0,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0013,case_a_korea1997_N009_t1,SUPPORTED_BY,case_a_korea1997,{}
case_a_korea1997_A0014,case_a_korea1997_N009_t1,SUPPORTED_BY,case_a_korea1997,{}
